Normal Case: 
Case = 0
element[0] = 00100100 36
element[1] = 00011000 24
element[2] = 00100011 35
element[3] = 11010110 -42
element[4] = 11010100 -44
element[5] = 00111111 63
element[6] = 01110010 114
element[7] = 01111101 125
element[8] = 01111010 122
element[9] = 11111010 -6
element[10] = 11101100 -20
element[11] = 11010011 -45
element[12] = 10010101 -107
element[13] = 10010100 -108
element[14] = 01101010 106
element[15] = 01100011 99
element[16] = 10101110 -82
element[17] = 11010010 -46
element[18] = 00001111 15
element[19] = 10100000 -96
element[20] = 11010111 -41
element[21] = 10001001 -119
element[22] = 11011000 -40
element[23] = 10101000 -88
element[24] = 00101000 40
element[25] = 10000110 -122
element[26] = 01010101 85
element[27] = 01010001 81
element[28] = 11010011 -45
element[29] = 00000011 3
element[30] = 11111000 -8
element[31] = 11110110 -10
scale = 00011011
Case = 1
element[0] = 00011010 26
element[1] = 11001011 -53
element[2] = 01101110 110
element[3] = 11011001 -39
element[4] = 10111110 -66
element[5] = 11101011 -21
element[6] = 11010011 -45
element[7] = 10110111 -73
element[8] = 01010110 86
element[9] = 10100101 -91
element[10] = 11001011 -53
element[11] = 11101001 -23
element[12] = 00001111 15
element[13] = 00101110 46
element[14] = 00010110 22
element[15] = 11100000 -32
element[16] = 10111101 -67
element[17] = 10110110 -74
element[18] = 00110110 54
element[19] = 01000101 69
element[20] = 00001101 13
element[21] = 01011110 94
element[22] = 11101101 -19
element[23] = 10010010 -110
element[24] = 10110011 -77
element[25] = 10111110 -66
element[26] = 01100011 99
element[27] = 00110101 53
element[28] = 00110101 53
element[29] = 11011010 -38
element[30] = 01010000 80
element[31] = 01001111 79
scale = 00100011
Case = 2
element[0] = 10111110 -66
element[1] = 10101000 -88
element[2] = 01100000 96
element[3] = 00101000 40
element[4] = 01111010 122
element[5] = 00010111 23
element[6] = 01111101 125
element[7] = 10011111 -97
element[8] = 01100001 97
element[9] = 11100111 -25
element[10] = 10101101 -83
element[11] = 10001111 -113
element[12] = 11111100 -4
element[13] = 00001101 13
element[14] = 01001011 75
element[15] = 10110001 -79
element[16] = 11000011 -61
element[17] = 00010000 16
element[18] = 00111101 61
element[19] = 00100000 32
element[20] = 11111100 -4
element[21] = 01001111 79
element[22] = 01010010 82
element[23] = 00111001 57
element[24] = 00110010 50
element[25] = 00001000 8
element[26] = 01101101 109
element[27] = 00001011 11
element[28] = 01010111 87
element[29] = 00111100 60
element[30] = 10101111 -81
element[31] = 10010110 -106
scale = 01100011
Case = 3
element[0] = 10001111 -113
element[1] = 10111101 -67
element[2] = 01011101 93
element[3] = 00100101 37
element[4] = 10111011 -69
element[5] = 11111011 -5
element[6] = 10000111 -121
element[7] = 10100001 -95
element[8] = 00101000 40
element[9] = 00010100 20
element[10] = 10011100 -100
element[11] = 10110101 -75
element[12] = 01011110 94
element[13] = 11001101 -51
element[14] = 01110110 118
element[15] = 01101101 109
element[16] = 00001001 9
element[17] = 00010111 23
element[18] = 11101001 -23
element[19] = 01010111 87
element[20] = 11101001 -23
element[21] = 00100001 33
element[22] = 10001010 -118
element[23] = 11110000 -16
element[24] = 00001111 15
element[25] = 00010100 20
element[26] = 11001000 -56
element[27] = 01001010 74
element[28] = 11000010 -62
element[29] = 01011100 92
element[30] = 00101101 45
element[31] = 01010000 80
scale = 10010111
Case = 4
element[0] = 00001010 10
element[1] = 01110100 116
element[2] = 11010010 -46
element[3] = 10000110 -122
element[4] = 11111010 -6
element[5] = 11110010 -14
element[6] = 10101101 -83
element[7] = 10001111 -113
element[8] = 10001110 -114
element[9] = 11100001 -31
element[10] = 11101100 -20
element[11] = 11011010 -38
element[12] = 01010110 86
element[13] = 11011010 -38
element[14] = 01100010 98
element[15] = 11101101 -19
element[16] = 01000010 66
element[17] = 00111010 58
element[18] = 11010110 -42
element[19] = 11100100 -28
element[20] = 11000011 -61
element[21] = 11000101 -59
element[22] = 11110010 -14
element[23] = 11010110 -42
element[24] = 10001100 -116
element[25] = 00111011 59
element[26] = 00011000 24
element[27] = 01100111 103
element[28] = 11101001 -23
element[29] = 11101000 -24
element[30] = 01111111 127
element[31] = 11110010 -14
scale = 01011011
Case = 5
element[0] = 11010001 -47
element[1] = 11110111 -9
element[2] = 11010110 -42
element[3] = 01000011 67
element[4] = 10100011 -93
element[5] = 11100100 -28
element[6] = 11010000 -48
element[7] = 10000011 -125
element[8] = 01001111 79
element[9] = 00101001 41
element[10] = 01011001 89
element[11] = 00101000 40
element[12] = 10001011 -117
element[13] = 11000110 -58
element[14] = 11101011 -21
element[15] = 11000100 -60
element[16] = 10011011 -101
element[17] = 11001110 -50
element[18] = 00000110 6
element[19] = 11100000 -32
element[20] = 10111111 -65
element[21] = 01011100 92
element[22] = 11101011 -21
element[23] = 01111001 121
element[24] = 11110100 -12
element[25] = 01010010 82
element[26] = 11100010 -30
element[27] = 11011011 -37
element[28] = 01010001 81
element[29] = 11010100 -44
element[30] = 10110110 -74
element[31] = 10100010 -94
scale = 11001001
Case = 6
element[0] = 00001011 11
element[1] = 11100100 -28
